"Population with at least some secondary education, female (% ages 25 and older)"
"Dimension: Education"
"SDG 4.4 By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship"
"Definition: Percentage of the population ages 25 and older that has reached (but not necessarily completed) a secondary level of education."
"Source: UNESCO Institute for Statistics (2020) and Barro and Lee (2018)."
""
"HDI Rank","Country","1990","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2019",""
"48"," Montenegro","..","","..","","74.3","","78.8","","83.3","","84.2","","85.1","","86.0","","86.9","","86.9","","87.0","","87.0","","88.0","","88.0","a,d"
"121"," Morocco","9.1","","11.9","","14.9","","17.9","","20.7","","21.9","","23.2","","24.5","","25.7","","25.7","","27.0","","28.0","","29.0","","29.1","a,b"
"181"," Mozambique","..","","..","","5.2","","5.4","","5.9","","7.3","","8.7","","10.1","","11.5","","13.0","","14.0","","14.0","","14.0","","14.0","a"
"147"," Myanmar","13.0","","15.2","","17.2","","19.4","","22.9","","24.0","","25.0","","26.1","","27.1","","27.1","","28.2","","28.7","","28.7","","28.7","a,b"
"130"," Namibia","31.5","","29.7","","26.6","","30.1","","33.3","","34.5","","35.7","","36.9","","38.1","","38.1","","39.3","","39.9","","40.5","","40.6","a,b"
"142"," Nepal","7.0","","8.1","","9.5","","13.3","","17.7","","19.3","","20.9","","22.5","","24.1","","24.1","","25.7","","27.3","","29.0","","29.3","a,b"
"8"," Netherlands","74.7","","78.6","","81.8","","86.4","","87.1","","87.2","","87.7","","86.0","","86.2","","86.4","","86.6","","87.1","","87.6","","87.6","a"
"14"," New Zealand","60.5","","63.1","","72.1","","81.0","","92.6","","95.0","","94.7","","96.8","","98.8","","99.2","","97.2","","97.2","","97.2","","97.4","a,f"
"128"," Nicaragua","16.4","","21.8","","28.6","","33.9","","39.4","","41.0","","42.6","","44.2","","45.7","","45.7","","47.3","","48.3","","48.3","","48.5","a,b"
"189"," Niger","0.8","","1.0","","1.4","","2.0","","2.4","","2.7","","3.0","","3.3","","3.6","","3.6","","3.9","","4.3","","4.3","","4.7","a"
"82"," North Macedonia","..","","..","","..","","..","","..","","..","","..","","..","","..","","40.2","","40.5","","40.5","","41.6","","41.8","a,d"
"1"," Norway","62.5","","69.0","","74.9","","96.6","","94.5","","97.4","","96.9","","96.5","","96.1","","96.3","","96.1","","95.4","","95.4","","95.4","a"
"60"," Oman","..","","..","","25.1","","38.4","","51.1","","54.8","","58.5","","62.3","","66.0","","69.7","","73.4","","73.4","","73.4","","73.4","a"
"154"," Pakistan","6.9","","9.8","","12.8","","19.9","","20.7","","19.3","","24.4","","25.2","","27.0","","26.9","","26.7","","27.6","","27.6","","27.6","a"
"50"," Palau","..","","..","","..","","..","","..","","..","","..","","96.9","","96.9","","96.9","","96.9","","96.9","","96.9","","96.9","a"
"115"," Palestine, State of","..","","..","","37.9","","40.8","","49.1","","51.0","","53.9","","55.6","","56.3","","58.5","","60.0","","61.8","","63.5","","63.5","a"
"57"," Panama","45.1","","47.0","","48.9","","55.7","","62.5","","64.4","","66.3","","68.2","","70.1","","72.0","","72.7","","72.7","","74.8","","74.8","a,e"
"155"," Papua New Guinea","7.2","","8.7","","7.7","","7.1","","7.6","","7.9","","8.2","","8.5","","8.8","","8.8","","9.1","","9.5","","9.9","","10.0","a,b"
"103"," Paraguay","25.1","","25.7","","25.2","","39.2","","32.0","","35.6","","41.7","","46.1","","46.2","","47.0","","47.3","","48.3","","49.2","","49.2","a"
"79"," Peru","37.9","","42.6","","50.7","","43.6","","53.2","","54.1","","56.3","","57.3","","56.2","","57.1","","57.7","","48.9","","58.9","","58.9","a"
"107"," Philippines","44.2","","46.6","","49.0","","65.1","","67.5","","68.7","","69.9","","71.1","","72.8","","74.6","","75.6","","75.6","","75.6","","75.6","a,b"
"35"," Poland","55.7","","60.6","","64.9","","71.1","","77.9","","78.8","","79.4","","80.4","","81.1","","82.0","","82.9","","82.9","","82.9","","83.1","a"
"38"," Portugal","20.1","","21.4","","23.9","","32.6","","41.1","","44.9","","47.2","","48.8","","50.8","","52.1","","53.6","","54.4","","53.9","","53.9","a"
"45"," Qatar","42.9","","49.2","","54.5","","62.1","","44.5","","62.7","","66.7","","69.8","","70.9","","72.2","","73.5","","75.8","","75.8","","76.1","a"
